game_name,total_review_count,최적화#프레임_negative_count,최적화#프레임_mention_count,최적화#프레임_negative_ratio_all_reviews,최적화#조작감_negative_count,최적화#조작감_mention_count,최적화#조작감_negative_ratio_all_reviews,시스템#버그_negative_count,시스템#버그_mention_count,시스템#버그_negative_ratio_all_reviews,콘텐츠#볼륨_negative_count,콘텐츠#볼륨_mention_count,콘텐츠#볼륨_negative_ratio_all_reviews,콘텐츠#몰입도_negative_count,콘텐츠#몰입도_mention_count,콘텐츠#몰입도_negative_ratio_all_reviews,시스템#밸런스_negative_count,시스템#밸런스_mention_count,시스템#밸런스_negative_ratio_all_reviews,시스템#독창성_negative_count,시스템#독창성_mention_count,시스템#독창성_negative_ratio_all_reviews,시스템#자유도_negative_count,시스템#자유도_mention_count,시스템#자유도_negative_ratio_all_reviews,UX#그래픽_negative_count,UX#그래픽_mention_count,UX#그래픽_negative_ratio_all_reviews,UX#캐릭터디자인_negative_count,UX#캐릭터디자인_mention_count,UX#캐릭터디자인_negative_ratio_all_reviews,UX#사운드_negative_count,UX#사운드_mention_count,UX#사운드_negative_ratio_all_reviews,스토리#내러티브_negative_count,스토리#내러티브_mention_count,스토리#내러티브_negative_ratio_all_reviews,운영#핵/치트_negative_count,운영#핵/치트_mention_count,운영#핵/치트_negative_ratio_all_reviews,운영#업데이트_negative_count,운영#업데이트_mention_count,운영#업데이트_negative_ratio_all_reviews,콘텐츠#난이도_negative_count,콘텐츠#난이도_mention_count,콘텐츠#난이도_negative_ratio_all_reviews,시스템#진입장벽_negative_count,시스템#진입장벽_mention_count,시스템#진입장벽_negative_ratio_all_reviews,콘텐츠#피로도_negative_count,콘텐츠#피로도_mention_count,콘텐츠#피로도_negative_ratio_all_reviews
3on3 FreeStyle: Rebound,100,12,13,0.12,5,8,0.05,18,18,0.18,3,13,0.03,10,46,0.1,26,28,0.26,12,18,0.12,8,13,0.08,6,12,0.06,3,8,0.03,3,5,0.03,4,6,0.04,11,11,0.11,30,32,0.3,9,11,0.09,21,22,0.21,8,8,0.08
60 Seconds! Reatomized,100,2,3,0.02,3,7,0.03,2,2,0.02,2,18,0.02,1,62,0.01,14,15,0.14,0,6,0.0,2,20,0.02,2,12,0.02,0,7,0.0,3,6,0.03,0,5,0.0,0,1,0.0,3,3,0.03,19,25,0.19,12,16,0.12,27,27,0.27
7 Days to Die,100,15,15,0.15,4,6,0.04,14,14,0.14,4,19,0.04,1,71,0.01,17,18,0.17,2,16,0.02,5,22,0.05,0,4,0.0,3,4,0.03,0,2,0.0,2,8,0.02,3,3,0.03,16,23,0.16,11,13,0.11,15,16,0.15,21,21,0.21
A Total War Saga: THRONES OF BRITANNIA,100,3,6,0.03,3,8,0.03,5,6,0.05,10,25,0.1,6,64,0.06,14,16,0.14,8,28,0.08,8,23,0.08,3,19,0.03,1,7,0.01,3,10,0.03,6,20,0.06,0,1,0.0,10,15,0.1,15,19,0.15,18,20,0.18,20,22,0.2
Against the Storm,100,8,11,0.08,7,9,0.07,10,12,0.1,7,24,0.07,2,79,0.02,16,18,0.16,11,20,0.11,14,24,0.14,5,15,0.05,7,12,0.07,5,8,0.05,9,16,0.09,3,4,0.03,14,19,0.14,13,20,0.13,24,25,0.24,16,18,0.16
Age of Darkness: Final Stand,100,16,17,0.16,6,11,0.06,19,19,0.19,8,17,0.08,9,53,0.09,38,39,0.38,5,12,0.05,8,20,0.08,3,10,0.03,3,6,0.03,6,8,0.06,3,4,0.03,2,2,0.02,25,31,0.25,24,28,0.24,21,22,0.21,15,15,0.15
Age of Empires II: Definitive Edition,100,12,12,0.12,6,9,0.06,16,16,0.16,5,17,0.05,2,67,0.02,10,10,0.1,4,24,0.04,1,14,0.01,4,12,0.04,2,5,0.02,4,5,0.04,3,6,0.03,0,0,0.0,10,16,0.1,7,8,0.07,10,10,0.1,6,7,0.06
Age of Empires III: Definitive Edition,100,22,26,0.22,5,10,0.05,22,22,0.22,7,22,0.07,2,60,0.02,9,9,0.09,3,15,0.03,4,16,0.04,3,12,0.03,3,5,0.03,3,6,0.03,3,8,0.03,3,3,0.03,15,22,0.15,6,6,0.06,8,9,0.08,8,9,0.08
Age of Empires IV: Anniversary Edition,100,13,13,0.13,3,4,0.03,14,14,0.14,12,29,0.12,3,68,0.03,18,18,0.18,10,20,0.1,5,18,0.05,3,10,0.03,4,7,0.04,2,4,0.02,1,11,0.01,2,2,0.02,19,22,0.19,16,17,0.16,19,21,0.19,22,24,0.22
Albion Online,100,14,14,0.14,2,4,0.02,14,14,0.14,4,16,0.04,1,60,0.01,7,7,0.07,0,10,0.0,1,15,0.01,0,5,0.0,0,2,0.0,0,1,0.0,2,6,0.02,3,3,0.03,10,13,0.1,7,12,0.07,18,20,0.18,13,14,0.13
Anno 117: Pax Romana,100,15,16,0.15,4,8,0.04,15,16,0.15,11,33,0.11,9,69,0.09,23,23,0.23,13,29,0.13,11,26,0.11,7,23,0.07,8,20,0.08,4,8,0.04,6,15,0.06,12,12,0.12,21,32,0.21,14,18,0.14,23,24,0.23,16,16,0.16
Anno 1800,100,7,7,0.07,4,6,0.04,7,7,0.07,7,19,0.07,2,70,0.02,8,9,0.08,2,16,0.02,4,18,0.04,1,9,0.01,0,4,0.0,2,3,0.02,0,5,0.0,0,0,0.0,3,11,0.03,12,15,0.12,16,17,0.16,16,16,0.16
Arma 3,100,7,7,0.07,3,4,0.03,10,10,0.1,7,17,0.07,5,51,0.05,11,12,0.11,4,11,0.04,4,13,0.04,2,5,0.02,1,2,0.01,0,1,0.0,1,4,0.01,2,2,0.02,11,12,0.11,10,12,0.1,16,19,0.16,6,7,0.06
Assassin's Creed® Syndicate,100,19,26,0.19,7,21,0.07,25,27,0.25,7,30,0.07,5,71,0.05,15,18,0.15,10,38,0.1,6,37,0.06,6,38,0.06,5,23,0.05,8,24,0.08,6,30,0.06,6,9,0.06,11,15,0.11,10,20,0.1,16,21,0.16,18,21,0.18
Astral Party,100,2,2,0.02,2,2,0.02,6,6,0.06,6,17,0.06,4,63,0.04,28,30,0.28,2,12,0.02,2,20,0.02,2,14,0.02,4,18,0.04,2,4,0.02,1,4,0.01,4,4,0.04,14,22,0.14,17,24,0.17,17,19,0.17,19,21,0.19
