game_name,최적화#프레임,최적화#조작감,시스템#버그,콘텐츠#볼륨,콘텐츠#몰입도,시스템#밸런스,시스템#독창성,시스템#자유도,UX#그래픽,UX#캐릭터디자인,UX#사운드,스토리#내러티브,운영#핵/치트,운영#업데이트,콘텐츠#난이도,시스템#진입장벽,콘텐츠#피로도
3on3 FreeStyle: Rebound,0.12,0.05,0.18,0.03,0.1,0.26,0.12,0.08,0.06,0.03,0.03,0.04,0.11,0.3,0.09,0.21,0.08
60 Seconds! Reatomized,0.02,0.03,0.02,0.02,0.01,0.14,0.0,0.02,0.02,0.0,0.03,0.0,0.0,0.03,0.19,0.12,0.27
7 Days to Die,0.15,0.04,0.14,0.04,0.01,0.17,0.02,0.05,0.0,0.03,0.0,0.02,0.03,0.16,0.11,0.15,0.21
A Total War Saga: THRONES OF BRITANNIA,0.03,0.03,0.05,0.1,0.06,0.14,0.08,0.08,0.03,0.01,0.03,0.06,0.0,0.1,0.15,0.18,0.2
Against the Storm,0.08,0.07,0.1,0.07,0.02,0.16,0.11,0.14,0.05,0.07,0.05,0.09,0.03,0.14,0.13,0.24,0.16
Age of Darkness: Final Stand,0.16,0.06,0.19,0.08,0.09,0.38,0.05,0.08,0.03,0.03,0.06,0.03,0.02,0.25,0.24,0.21,0.15
Age of Empires II: Definitive Edition,0.12,0.06,0.16,0.05,0.02,0.1,0.04,0.01,0.04,0.02,0.04,0.03,0.0,0.1,0.07,0.1,0.06
Age of Empires III: Definitive Edition,0.22,0.05,0.22,0.07,0.02,0.09,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.15,0.06,0.08,0.08
Age of Empires IV: Anniversary Edition,0.13,0.03,0.14,0.12,0.03,0.18,0.1,0.05,0.03,0.04,0.02,0.01,0.02,0.19,0.16,0.19,0.22
Albion Online,0.14,0.02,0.14,0.04,0.01,0.07,0.0,0.01,0.0,0.0,0.0,0.02,0.03,0.1,0.07,0.18,0.13
Anno 117: Pax Romana,0.15,0.04,0.15,0.11,0.09,0.23,0.13,0.11,0.07,0.08,0.04,0.06,0.12,0.21,0.14,0.23,0.16
Anno 1800,0.07,0.04,0.07,0.07,0.02,0.08,0.02,0.04,0.01,0.0,0.02,0.0,0.0,0.03,0.12,0.16,0.16
Arma 3,0.07,0.03,0.1,0.07,0.05,0.11,0.04,0.04,0.02,0.01,0.0,0.01,0.02,0.11,0.1,0.16,0.06
Assassin's Creed® Syndicate,0.19,0.07,0.25,0.07,0.05,0.15,0.1,0.06,0.06,0.05,0.08,0.06,0.06,0.11,0.1,0.16,0.18
Astral Party,0.02,0.02,0.06,0.06,0.04,0.28,0.02,0.02,0.02,0.04,0.02,0.01,0.04,0.14,0.17,0.17,0.19
BATTLETECH,0.24,0.08,0.27,0.15,0.07,0.33,0.08,0.12,0.02,0.04,0.04,0.07,0.05,0.3,0.25,0.28,0.28
Baba Is You,0.03,0.01,0.04,0.02,0.02,0.07,0.01,0.02,0.0,0.0,0.01,0.02,0.0,0.04,0.14,0.17,0.18
Balatro,0.01,0.02,0.01,0.01,0.01,0.12,0.04,0.03,0.01,0.01,0.02,0.01,0.05,0.07,0.07,0.14,0.06
Baldur's Gate 3,0.01,0.01,0.03,0.06,0.04,0.05,0.01,0.02,0.0,0.0,0.01,0.04,0.0,0.02,0.07,0.06,0.06
Barotrauma,0.05,0.05,0.1,0.02,0.0,0.26,0.04,0.04,0.02,0.02,0.01,0.03,0.03,0.04,0.24,0.22,0.22
Batman™: Arkham Knight,0.08,0.04,0.11,0.05,0.02,0.15,0.05,0.06,0.03,0.07,0.04,0.05,0.03,0.09,0.16,0.11,0.16
Battle Brothers,0.11,0.03,0.12,0.09,0.03,0.25,0.08,0.05,0.02,0.06,0.03,0.06,0.03,0.17,0.21,0.25,0.18
