game_name,최적화#프레임_mention_count,최적화#프레임_positive_count,최적화#프레임_neutral_count,최적화#프레임_negative_count,최적화#조작감_mention_count,최적화#조작감_positive_count,최적화#조작감_neutral_count,최적화#조작감_negative_count,시스템#버그_mention_count,시스템#버그_positive_count,시스템#버그_neutral_count,시스템#버그_negative_count,콘텐츠#볼륨_mention_count,콘텐츠#볼륨_positive_count,콘텐츠#볼륨_neutral_count,콘텐츠#볼륨_negative_count,콘텐츠#몰입도_mention_count,콘텐츠#몰입도_positive_count,콘텐츠#몰입도_neutral_count,콘텐츠#몰입도_negative_count,시스템#밸런스_mention_count,시스템#밸런스_positive_count,시스템#밸런스_neutral_count,시스템#밸런스_negative_count,시스템#독창성_mention_count,시스템#독창성_positive_count,시스템#독창성_neutral_count,시스템#독창성_negative_count,시스템#자유도_mention_count,시스템#자유도_positive_count,시스템#자유도_neutral_count,시스템#자유도_negative_count,UX#그래픽_mention_count,UX#그래픽_positive_count,UX#그래픽_neutral_count,UX#그래픽_negative_count,UX#캐릭터디자인_mention_count,UX#캐릭터디자인_positive_count,UX#캐릭터디자인_neutral_count,UX#캐릭터디자인_negative_count,UX#사운드_mention_count,UX#사운드_positive_count,UX#사운드_neutral_count,UX#사운드_negative_count,스토리#내러티브_mention_count,스토리#내러티브_positive_count,스토리#내러티브_neutral_count,스토리#내러티브_negative_count,운영#핵/치트_mention_count,운영#핵/치트_positive_count,운영#핵/치트_neutral_count,운영#핵/치트_negative_count,운영#업데이트_mention_count,운영#업데이트_positive_count,운영#업데이트_neutral_count,운영#업데이트_negative_count,콘텐츠#난이도_mention_count,콘텐츠#난이도_positive_count,콘텐츠#난이도_neutral_count,콘텐츠#난이도_negative_count,시스템#진입장벽_mention_count,시스템#진입장벽_positive_count,시스템#진입장벽_neutral_count,시스템#진입장벽_negative_count,콘텐츠#피로도_mention_count,콘텐츠#피로도_positive_count,콘텐츠#피로도_neutral_count,콘텐츠#피로도_negative_count
Counter-Strike,5,1,0,4,3,1,0,2,3,0,0,3,4,3,1,0,43,41,2,0,3,0,0,3,13,10,1,2,6,6,0,0,6,4,0,2,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,7,2,0,5,2,0,0,2,5,1,0,4,1,0,0,1
Counter-Strike: Source,4,2,1,1,3,2,0,1,3,0,0,3,10,9,1,0,51,47,2,2,9,2,1,6,9,9,0,0,9,7,2,0,5,3,0,2,5,2,1,2,2,2,0,0,1,0,1,0,4,0,0,4,13,3,6,4,2,0,1,1,8,1,0,7,3,0,0,3
Dota 2,0,0,0,0,2,1,0,1,2,0,0,2,3,1,1,1,36,28,2,6,12,1,0,11,4,2,0,2,4,2,0,2,3,2,0,1,2,1,0,1,2,1,0,1,0,0,0,0,5,0,0,5,8,2,1,5,3,0,0,3,9,0,1,8,3,0,0,3
Counter-Strike 2,1,0,0,1,1,0,1,0,2,0,0,2,1,1,0,0,31,28,1,2,7,0,0,7,6,5,0,1,5,4,0,1,2,0,1,1,1,0,0,1,1,0,1,0,3,3,0,0,18,1,0,17,5,1,2,2,2,0,0,2,4,1,0,3,4,0,0,4
Insaniquarium Deluxe,21,1,3,17,4,1,0,3,29,0,2,27,14,7,3,4,68,65,2,1,3,0,1,2,12,10,0,2,9,7,0,2,8,6,1,1,4,4,0,0,2,1,0,1,6,5,0,1,3,0,0,3,12,3,3,6,10,2,0,8,15,1,0,14,13,0,0,13
Plants vs. Zombies GOTY Edition,1,0,0,1,1,0,0,1,3,0,0,3,8,7,0,1,64,61,2,1,6,1,0,5,13,8,2,3,7,6,0,1,5,3,1,1,4,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,10,1,1,8,6,1,0,5,3,0,0,3,4,0,0,4
Total War: MEDIEVAL II – Definitive Edition,16,2,1,13,12,9,0,3,12,0,1,11,16,13,1,2,56,54,2,0,12,0,0,12,25,22,0,3,18,11,2,5,18,11,4,3,8,5,0,3,9,6,0,3,8,6,1,1,3,0,0,3,20,4,4,12,13,0,1,12,19,3,0,16,11,0,0,11
EVE Online,3,0,1,2,5,4,0,1,4,0,0,4,17,9,3,5,68,62,3,3,12,0,0,12,11,7,0,4,10,6,0,4,11,9,1,1,6,3,2,1,5,3,1,1,7,2,2,3,1,0,0,1,8,1,1,6,18,0,2,16,36,0,1,35,11,0,1,10
Sid Meier's Civilization® V,2,1,0,1,2,2,0,0,4,0,0,4,12,6,3,3,62,59,2,1,3,0,1,2,9,7,1,1,4,4,0,0,4,3,1,0,2,1,1,0,2,2,0,0,6,5,1,0,0,0,0,0,5,1,1,3,9,2,2,5,9,1,0,8,9,0,0,9
Call of Duty®: Modern Warfare® 2 (2009),4,1,0,3,5,2,1,2,5,0,0,5,9,8,0,1,62,61,0,1,6,0,0,6,29,26,1,2,13,13,0,0,21,14,5,2,13,8,2,3,9,7,0,2,21,18,1,2,0,0,0,0,7,0,2,5,7,1,0,6,9,2,0,7,3,0,0,3
Total War: EMPIRE – Definitive Edition,13,1,1,11,9,6,0,3,14,0,2,12,15,11,0,4,56,50,3,3,17,1,1,15,27,19,3,5,22,16,1,5,13,8,2,3,7,3,1,3,6,4,0,2,11,8,1,2,5,0,1,4,22,6,2,14,15,2,2,11,15,1,1,13,8,0,1,7
GROUND BRANCH,14,0,1,13,15,6,1,8,10,0,0,10,23,8,5,10,56,44,8,4,22,1,1,20,21,12,3,6,22,12,3,7,17,7,5,5,12,7,1,4,13,7,1,5,7,2,2,3,3,0,0,3,28,8,6,14,21,1,2,18,19,1,1,17,15,0,0,15
The Sims™ 3,21,1,1,19,7,5,0,2,24,0,1,23,20,15,1,4,69,68,1,0,5,0,0,5,18,17,1,0,15,13,1,1,13,11,0,2,8,3,2,3,4,3,0,1,10,7,2,1,2,1,0,1,16,6,2,8,8,2,0,6,14,0,0,14,3,0,0,3
Mount & Blade: Warband,7,3,1,3,3,3,0,0,5,0,1,4,15,13,2,0,64,59,3,2,10,2,0,8,18,12,3,3,18,15,3,0,6,6,0,0,3,1,0,2,1,1,0,0,5,3,1,1,1,0,0,1,8,3,3,2,6,2,1,3,5,2,0,3,5,2,0,3
Arma 3,7,0,0,7,4,1,0,3,10,0,0,10,17,7,3,7,51,44,2,5,12,1,0,11,11,6,1,4,13,9,0,4,5,3,0,2,2,1,0,1,1,1,0,0,4,3,0,1,2,0,0,2,12,1,0,11,12,1,1,10,19,3,0,16,7,1,0,6
XCOM: Enemy Unknown,12,0,1,11,6,3,0,3,17,0,1,16,11,9,1,1,58,54,3,1,21,2,0,19,14,12,1,1,11,8,2,1,9,4,4,1,1,1,0,0,4,2,0,2,6,3,2,1,2,0,0,2,17,6,4,7,22,2,3,17,17,3,0,14,13,0,0,13
