attribute,valid_game_count,threshold_negative_ratio,threshold_negative_percent,safe_count,risk_count,safe_mean_overall,risk_mean_overall,mean_gap,mean_gap_percent_point,safe_median_overall,risk_median_overall,median_gap,cohen_d,safe_regression_slope,safe_regression_p_value,safe_regression_ci_low,safe_regression_ci_high,safe_regression_r2,risk_regression_slope,risk_regression_p_value,risk_regression_ci_low,risk_regression_ci_high,risk_regression_r2,passes_gap,interpretation
시스템#밸런스,210,0.215,21.5,160,50,0.8841,0.7314,0.1528,15.28,0.9082,0.7469,0.1612,1.3673,-0.3012,0.045595,-0.5965,-0.006,0.0251,-0.5763,0.181456,-1.4307,0.2782,0.0369,True,강함: 집단 차이 뚜렷
운영#핵/치트,210,0.055,5.5,158,52,0.8852,0.734,0.1512,15.12,0.9152,0.7541,0.1611,1.3544,-1.2842,0.014749,-2.313,-0.2555,0.0375,0.0168,0.979326,-1.2755,1.309,0.0,True,강함: 집단 차이 뚜렷
운영#업데이트,210,0.145,14.5,152,58,0.8886,0.7407,0.1479,14.79,0.9152,0.749,0.1662,1.3308,-0.8744,1.3e-05,-1.2573,-0.4914,0.1195,-0.5739,0.093368,-1.2474,0.0996,0.0495,True,강함: 집단 차이 뚜렷
콘텐츠#몰입도,210,0.045,4.5,153,57,0.8878,0.7403,0.1475,14.75,0.9136,0.7501,0.1635,1.3233,-2.6068,1e-06,-3.63,-1.5836,0.1437,-1.9712,0.007755,-3.4005,-0.5419,0.122,True,강함: 집단 차이 뚜렷
시스템#독창성,210,0.055,5.5,157,53,0.8764,0.7628,0.1136,11.36,0.9041,0.7965,0.1076,0.95,-0.8188,0.108348,-1.8203,0.1827,0.0165,-2.0808,0.002678,-3.4042,-0.7575,0.1635,True,강함: 집단 차이 뚜렷
최적화#프레임,210,0.095,9.5,146,64,0.879,0.7765,0.1025,10.25,0.9234,0.7982,0.1252,0.8511,-0.6549,0.074693,-1.376,0.0661,0.0219,-0.5562,0.10991,-1.2416,0.1293,0.0407,True,강함: 집단 차이 뚜렷
시스템#버그,210,0.145,14.5,165,45,0.8692,0.769,0.1002,10.02,0.9068,0.7811,0.1257,0.8172,-0.6624,0.007971,-1.1493,-0.1755,0.0424,-0.2185,0.6368,-1.1452,0.7081,0.0052,True,강함: 집단 차이 뚜렷
UX#사운드,210,0.025,2.5,151,59,0.873,0.7832,0.0897,8.97,0.9046,0.8061,0.0985,0.7298,-0.2215,0.834103,-2.3078,1.8648,0.0003,-2.0342,0.033297,-3.9016,-0.1668,0.077,False,약함: 집단 차이 작음
시스템#자유도,210,0.035,3.5,117,93,0.886,0.7996,0.0864,8.64,0.93,0.836,0.094,0.7075,-1.3631,0.118683,-3.0806,0.3544,0.021,-0.8254,0.096554,-1.8018,0.151,0.0301,False,약함: 집단 차이 작음
스토리#내러티브,210,0.035,3.5,159,51,0.8682,0.7839,0.0843,8.43,0.902,0.8005,0.1015,0.6787,-1.0581,0.192136,-2.6536,0.5374,0.0108,-0.0555,0.928514,-1.2917,1.1808,0.0002,False,약함: 집단 차이 작음
UX#캐릭터디자인,210,0.035,3.5,151,59,0.8707,0.7889,0.0818,8.18,0.902,0.836,0.066,0.6594,-0.5841,0.439698,-2.0737,0.9056,0.004,-1.1077,0.14158,-2.5958,0.3804,0.0375,False,약함: 집단 차이 작음
콘텐츠#볼륨,210,0.065,6.5,155,55,0.8685,0.7892,0.0793,7.93,0.9046,0.8063,0.0983,0.6366,-1.1639,0.02038,-2.1449,-0.1828,0.0347,-0.4308,0.546577,-1.855,0.9933,0.0069,False,약함: 집단 차이 작음
시스템#진입장벽,210,0.175,17.5,132,78,0.8752,0.8014,0.0738,7.38,0.9132,0.8091,0.1041,0.593,-0.1739,0.533758,-0.7253,0.3775,0.003,0.2566,0.480525,-0.4643,0.9776,0.0066,False,약함: 집단 차이 작음
UX#그래픽,210,0.025,2.5,139,71,0.8704,0.8034,0.067,6.7,0.8981,0.8374,0.0607,0.5344,-1.0986,0.307964,-3.2216,1.0243,0.0076,-2.4857,0.002731,-4.081,-0.8905,0.1228,False,약함: 집단 차이 작음
최적화#조작감,210,0.035,3.5,144,66,0.8681,0.8033,0.0648,6.48,0.905,0.8367,0.0684,0.5145,-1.6846,0.066528,-3.4856,0.1164,0.0235,-1.5678,0.02025,-2.8832,-0.2524,0.0814,False,약함: 집단 차이 작음
콘텐츠#난이도,210,0.085,8.5,47,163,0.8669,0.8422,0.0247,2.47,0.8748,0.8888,-0.014,0.1914,-1.3275,0.113625,-2.9845,0.3296,0.0547,0.1169,0.587274,-0.3075,0.5412,0.0018,False,약함: 집단 차이 작음
콘텐츠#피로도,210,0.105,10.5,72,138,0.8501,0.8465,0.0036,0.36,0.8769,0.8888,-0.0119,0.0281,-0.5229,0.372731,-1.6853,0.6396,0.0114,0.0562,0.775339,-0.3324,0.4447,0.0006,False,약함: 집단 차이 작음
