attribute,valid_game_count,threshold_attribute_score,safe_count,risk_count,safe_mean_overall,risk_mean_overall,mean_gap,safe_median_overall,risk_median_overall,median_gap,cohen_d,safe_regression_slope,safe_regression_p_value,safe_regression_ci_low,safe_regression_ci_high,safe_regression_r2,risk_regression_slope,risk_regression_p_value,risk_regression_ci_low,risk_regression_ci_high,risk_regression_r2,passes_gap,interpretation
UX#사운드,54,-0.02,38,16,0.8709,0.6751,0.1958,0.8931,0.7117,0.1814,1.4471,0.1545,0.007918,0.0431,0.2658,0.1801,0.0165,0.938552,-0.4336,0.4666,0.0004,True,강함: 집단 차이 뚜렷
콘텐츠#몰입도,210,0.743,165,45,0.8853,0.7102,0.1751,0.9068,0.7284,0.1785,1.6292,0.5575,0.0,0.3603,0.7547,0.1605,0.4564,0.023151,0.0656,0.8472,0.1143,True,강함: 집단 차이 뚜렷
UX#캐릭터디자인,91,-0.0972,67,24,0.8644,0.7159,0.1485,0.9055,0.7625,0.143,1.0408,0.0796,0.169959,-0.035,0.1942,0.0288,0.073,0.674111,-0.2823,0.4283,0.0082,True,강함: 집단 차이 뚜렷
최적화#조작감,82,-0.1181,51,31,0.8691,0.7385,0.1306,0.8909,0.757,0.1339,0.9779,0.0722,0.11743,-0.0188,0.1631,0.0493,-0.0508,0.726045,-0.3445,0.2429,0.0043,True,강함: 집단 차이 뚜렷
시스템#독창성,194,0.2638,155,39,0.8705,0.7414,0.1291,0.8981,0.7461,0.152,1.0595,0.1358,0.002857,0.0473,0.2242,0.0567,0.2389,0.097236,-0.0456,0.5235,0.0726,True,강함: 집단 차이 뚜렷
스토리#내러티브,119,0.4495,44,75,0.9191,0.7957,0.1233,0.9359,0.8239,0.112,0.9606,-0.0037,0.951162,-0.1254,0.1179,0.0001,0.1088,0.101845,-0.0221,0.2396,0.0362,True,강함: 집단 차이 뚜렷
UX#그래픽,142,0.5917,41,101,0.9163,0.8091,0.1071,0.9439,0.8391,0.1047,0.8124,0.0941,0.323391,-0.0962,0.2845,0.025,0.1365,0.01878,0.0231,0.2499,0.0545,True,강함: 집단 차이 뚜렷
시스템#자유도,198,0.3038,144,54,0.8762,0.7696,0.1066,0.9104,0.7834,0.127,0.8747,0.1842,0.000579,0.0808,0.2877,0.0803,0.1795,0.07137,-0.0162,0.3753,0.0612,True,강함: 집단 차이 뚜렷
운영#업데이트,191,-0.458,108,83,0.8835,0.7821,0.1014,0.9131,0.8,0.1131,0.8307,0.0942,0.026435,0.0112,0.1771,0.0456,-0.0269,0.84297,-0.2967,0.2428,0.0005,True,강함: 집단 차이 뚜렷
시스템#진입장벽,201,-0.7913,84,117,0.9013,0.8055,0.0958,0.934,0.8239,0.1101,0.7961,-0.028,0.659784,-0.1539,0.098,0.0024,0.266,0.151114,-0.0986,0.6305,0.0178,False,약함: 집단 차이 작음
콘텐츠#볼륨,202,0.2072,159,43,0.8673,0.7719,0.0954,0.8989,0.7501,0.1488,0.766,0.1712,0.000563,0.0752,0.2672,0.0732,0.2327,0.126246,-0.0684,0.5337,0.0561,False,약함: 집단 차이 작음
콘텐츠#난이도,199,-0.8603,159,40,0.864,0.77,0.094,0.8981,0.7827,0.1154,0.7565,0.177,0.000617,0.077,0.2771,0.0722,0.7378,0.12571,-0.2162,1.6919,0.0606,False,약함: 집단 차이 작음
최적화#프레임,128,-0.8091,67,61,0.8642,0.7793,0.0848,0.8909,0.7851,0.1058,0.6828,0.0796,0.231882,-0.0521,0.2113,0.0219,-0.5419,0.048822,-1.0809,-0.0029,0.0642,False,약함: 집단 차이 작음
시스템#밸런스,193,-0.8652,52,141,0.8897,0.8234,0.0663,0.9334,0.8593,0.0741,0.5164,0.2455,0.016049,0.0477,0.4434,0.1105,-0.1338,0.608127,-0.6485,0.381,0.0019,False,약함: 집단 차이 작음
콘텐츠#피로도,189,-0.8517,39,150,0.8836,0.834,0.0496,0.9445,0.8684,0.0761,0.3831,0.325,0.06539,-0.0218,0.6717,0.0888,0.1412,0.500506,-0.2719,0.5543,0.0031,False,약함: 집단 차이 작음
시스템#버그,139,-0.8918,28,111,0.8648,0.8158,0.049,0.9007,0.836,0.0647,0.3935,0.0736,0.842291,-0.6795,0.8267,0.0016,-0.6101,0.105886,-1.3516,0.1315,0.0238,False,약함: 집단 차이 작음
