appid,name,release_date,developers,publishers,genres,categories,price_overview,metacritic_score,is_free,required_age,short_description,header_image,metadata_source,crawled_at
730,Counter-Strike 2,2012년 8월 21일,"[""Valve""]","[""Valve""]","[""액션"", ""무료 플레이""]","[""멀티플레이어"", ""크로스 플랫폼 멀티플레이어"", ""Steam 트레이딩 카드"", ""Steam 창작마당"", ""앱 내 구매"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""스테레오 사운드"", ""서라운드 사운드"", ""Valve Anti-Cheat 사용"", ""통계"", ""Remote Play 휴대전화"", ""Remote Play 태블릿"", ""Remote Play TV"", ""Steam 타임라인""]",,,True,0,Counter-Strike는 20년이 넘는 시간 동안 전 세계 수백만 명의 플레이어가 모여 수준 높은 경쟁을 펼칠 수 있는 플랫폼을 제공해 왔습니다. 그리고 이제 곧 Counter-Strike 2와 함께 새로운 CS 시대의 막이 열립니다.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/header.jpg?t=1749053861,appdetails,2026-05-26T07:39:07+00:00
570,Dota 2,2013년 7월 9일,"[""Valve""]","[""Valve""]","[""액션"", ""전략"", ""무료 플레이""]","[""멀티플레이어"", ""협동"", ""Steam 트레이딩 카드"", ""Steam 창작마당"", ""SteamVR 수집품"", ""앱 내 구매"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""Valve Anti-Cheat 사용"", ""Steam 타임라인""]",,90.0,True,0,"매일, 전 세계 수백 만의 플레이어가 백여 명의 도타 영웅 중 하나가 되어 전장에 뛰어듭니다. 10시간을 했든, 1,000시간을 했든 언제나 새롭게 느껴지는 무언가가 있습니다. 정기적인 업데이트로 게임플레이, 기능, 영웅이 끊임없이 진화하는 도타 2는 그 자체의 생명력으로 살아 숨 쉬는 게임입니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570/header.jpg?t=1769535998,appdetails,2026-05-26T07:39:07+00:00
578080,PUBG: BATTLEGROUNDS,2017년 12월 21일,"[""PUBG Corporation""]","[""KRAFTON, Inc.""]","[""액션"", ""어드벤처"", ""대규모 멀티플레이어"", ""무료 플레이""]","[""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""음량 개별 조절"", ""스테레오 사운드"", ""서라운드 사운드"", ""통계"", ""Remote Play 휴대전화"", ""Remote Play 태블릿""]",,,True,19,"배틀로얄 유행의 시작이자, 그 정수를 보여준 PUBG: 배틀그라운드를 지금 무료로 플레이하세요! 다양한 맵에 낙하하여 무기와 보급품을 확보하고, 점점 줄어드는 블루존 속에서 끝까지 살아남아 승리를 쟁취하세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/841ea38bc58cabb70aef65365cf50bc2d79329d9/header.jpg?t=1778634253,appdetails,2026-05-26T07:39:07+00:00
2483190,Forza Horizon 6,2026년 5월 18일,"[""Playground Games""]","[""Xbox Game Studios""]","[""레이싱"", ""시뮬레이션"", ""스포츠""]","[""싱글 플레이어"", ""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""Steam 트레이딩 카드"", ""텍스트 채팅 음성 변환"", ""색상 대체"", ""음량 개별 조절"", ""난이도 조정"", ""키보드 전용 옵션"", ""퀵타임 이벤트 없이 플레이 가능"", ""스테레오 사운드"", ""서라운드 사운드"", ""HDR 사용 가능"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 7980000, ""final_formatted"": ""₩ 79,800"", ""initial"": 7980000, ""initial_formatted"": """"}",,False,0,"Forza Horizon이 역대 최대 규모의 오픈 월드 드라이빙 모험을 선사합니다. 550대 이상의 실제 차량을 타고 일본의 숨 막히게 아름다운 풍경을 만나고, Horizon 페스티벌에서 레이싱의 전설이 되어보세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2483190/27abb1584a118d50d0e3950fd48d557c51981db7/header.jpg?t=1779221600,appdetails,2026-05-26T07:39:07+00:00
2868840,Slay the Spire 2,2026년 3월 5일,"[""Mega Crit""]","[""Mega Crit""]","[""인디"", ""전략"", ""앞서 해보기""]","[""싱글 플레이어"", ""멀티플레이어"", ""협동"", ""온라인 협동"", ""컨트롤러 완벽 지원"", ""음량 개별 조절"", ""마우스 전용 옵션"", ""퀵타임 이벤트 없이 플레이 가능"", ""수시 저장"", ""Steam Cloud"", ""통계"", ""Steam 순위표"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 2700000, ""final_formatted"": ""₩ 27,000"", ""initial"": 2700000, ""initial_formatted"": """"}",,False,0,"로그라이크 덱 빌딩 게임의 상징이 돌아왔습니다! 슬레이 더 스파이어 2에서 독창적인 덱을 만들고, 괴이한 생명체들과 조우하며, 엄청난 힘을 가진 유물을 발견하세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2868840/b0958d387dc366211e0f353443710cfcf9fdb020/header.jpg?t=1776735385,appdetails,2026-05-26T07:39:07+00:00
252490,Rust,2018년 2월 8일,"[""Facepunch Studios""]","[""Facepunch Studios""]","[""액션"", ""어드벤처"", ""인디"", ""대규모 멀티플레이어"", ""RPG""]","[""멀티플레이어"", ""MMO"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""Steam 트레이딩 카드"", ""Steam 창작마당"", ""앱 내 구매"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""난이도 조정"", ""스테레오 사운드"", ""자막 옵션"", ""서라운드 사운드"", ""Valve Anti-Cheat 사용"", ""통계"", ""Remote Play 태블릿""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 4200000, ""final_formatted"": ""₩ 42,000"", ""initial"": 4200000, ""initial_formatted"": """"}",69.0,False,0,"Rust에서의 목표는 오직 하나, 바로 살아남는 것입니다. 섬의 야생 동물, 다른 주민, 환경, 다른 생존자 모두가 여러분의 목숨을 노립니다. 하루 더 살아남을 수 있다면 수단과 방법을 가리지 마세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/header.jpg?t=1778597738,appdetails,2026-05-26T07:39:07+00:00
413150,Stardew Valley,2016년 2월 26일,"[""ConcernedApe""]","[""ConcernedApe""]","[""인디"", ""RPG"", ""시뮬레이션""]","[""싱글 플레이어"", ""멀티플레이어"", ""협동"", ""온라인 협동"", ""LAN 협동"", ""스크린 공유 및 분할 협동"", ""공유 및 분할 화면"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""Steam 트레이딩 카드"", ""Steam Cloud"", ""Remote Play 휴대전화"", ""Remote Play 태블릿"", ""Remote Play Together"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 1600000, ""final_formatted"": ""₩ 16,000"", ""initial"": 1600000, ""initial_formatted"": """"}",89.0,False,0,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg?t=1754692865,appdetails,2026-05-26T07:39:07+00:00
552990,World of Warships,2017년 11월 15일,"[""Wargaming Group Limited""]","[""Wargaming Group Limited""]","[""액션"", ""대규모 멀티플레이어"", ""시뮬레이션"", ""전략"", ""무료 플레이""]","[""멀티플레이어"", ""MMO"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""Steam 도전 과제"", ""Steam 트레이딩 카드"", ""앱 내 구매"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""Steam Cloud""]",,81.0,True,0,기습에 능한 구축함부터 거함거포의 상징인 전함 등 20세기 초반부터 등장한 800척의 다양한 군함을 직접 운용하여 치열한 해상 전투가 벌어지는 전장에 참전할 수 있는 기회를 놓치지 마십시오. 취향에 따라 군함 외관을 장식하고 강화 장치를 장착하여 해상을 정복해 보십시오!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/552990/981dcaf1779849f5f1b957e64889204b04118cd2/header.jpg?t=1779365658,appdetails,2026-05-26T07:39:07+00:00
2767030,마블 라이벌즈,2024년 12월 5일,"[""NetEase Games""]","[""NetEase Games""]","[""액션"", ""무료 플레이""]","[""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""앱 내 구매""]",,,True,0,슈퍼 히어로 PVP 팀 슈팅 게임 를 소개합니다. 플레이어는 슈퍼 히어로와 빌런 진영에서 원하는 캐릭터를 골라 올스타팀을 구성할 수 있습니다. 마블 유니버스의 다양한 맵을 활용하고 캐릭터 본연의 능력과 팀업 스킬을 전략적으로 조합하여 전투를 승리로 이끄세요!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2767030/1c28b9ed355e516c85b84b1332aa91ea727f60b1/header.jpg?t=1778835753,appdetails,2026-05-26T07:39:07+00:00
1086940,Baldur's Gate 3,2023년 8월 3일,"[""Larian Studios""]","[""Larian Studios""]","[""어드벤처"", ""RPG"", ""전략""]","[""싱글 플레이어"", ""멀티플레이어"", ""협동"", ""온라인 협동"", ""LAN 협동"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""Steam 트레이딩 카드"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""난이도 조정"", ""퀵타임 이벤트 없이 플레이 가능"", ""수시 저장"", ""스테레오 사운드"", ""자막 옵션"", ""서라운드 사운드"", ""Steam Cloud"", ""Remote Play TV"", ""Remote Play Together"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 6600000, ""final_formatted"": ""₩ 66,000"", ""initial"": 6600000, ""initial_formatted"": """"}",96.0,False,0,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons &amp; Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1086940/48a2fcbda8565bb45025e98fd8ebde8a7203f6a0/header.jpg?t=1777363040,appdetails,2026-05-26T07:39:07+00:00
1245620,ELDEN RING,2022년 2월 24일,"[""FromSoftware, Inc.""]","[""FromSoftware, Inc."", ""Bandai Namco Entertainment""]","[""액션"", ""RPG""]","[""싱글 플레이어"", ""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""Steam 트레이딩 카드"", ""카메라 움직임 조정"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""수시 저장"", ""스테레오 사운드"", ""서라운드 사운드"", ""Steam Cloud"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 6480000, ""final_formatted"": ""₩ 64,800"", ""initial"": 6480000, ""initial_formatted"": """"}",94.0,False,0,"본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg?t=1767883716,appdetails,2026-05-26T07:39:07+00:00
289070,Sid Meier’s Civilization® VI,2016년 10월 20일,"[""Firaxis Games"", ""Aspyr (Mac)"", ""Aspyr (Linux)""]","[""2K"", ""Aspyr (Mac)"", ""Aspyr (Linux)""]","[""전략""]","[""싱글 플레이어"", ""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""LAN PvP"", ""스크린 공유 및 분할 PvP"", ""공유 및 분할 화면"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""Steam 트레이딩 카드"", ""Steam 창작마당"", ""앱 내 구매"", ""Steam 턴 알림"", ""Remote Play 태블릿"", ""Remote Play Together"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 6500000, ""final_formatted"": ""₩ 65,000"", ""initial"": 6500000, ""initial_formatted"": """"}",88.0,False,0,"문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/289070/header.jpg?t=1740607040,appdetails,2026-05-26T07:39:07+00:00
294100,RimWorld,2018년 10월 17일,"[""Ludeon Studios""]","[""Ludeon Studios""]","[""인디"", ""시뮬레이션"", ""전략""]","[""싱글 플레이어"", ""Steam 창작마당"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""음량 개별 조절"", ""난이도 조정"", ""마우스 전용 옵션"", ""퀵타임 이벤트 없이 플레이 가능"", ""수시 저장"", ""컨트롤러 일부 지원"", ""Steam Cloud"", ""Remote Play 태블릿"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 3750000, ""final_formatted"": ""₩ 37,500"", ""initial"": 3750000, ""initial_formatted"": """"}",87.0,False,0,"지능형 AI 이야기꾼이 주도하는 공상과학 정착지 시뮬레이터입니다. 심리, 생태, 총격전과 근접전, 날씨, 기후, 외교, 사람 사이의 관계, 예술, 의학, 무역, 그 외 많은 것들을 시뮬레이션하여 이야기를 생성합니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/294100/76e0613b8197327299d5dbabb0a7fd7828a689a2/header.jpg?t=1776194377,appdetails,2026-05-26T07:39:07+00:00
227300,Euro Truck Simulator 2,2012년 10월 12일,"[""SCS Software""]","[""SCS Software""]","[""인디"", ""시뮬레이션""]","[""싱글 플레이어"", ""멀티플레이어"", ""협동"", ""온라인 협동"", ""Steam 도전 과제"", ""Steam 트레이딩 카드"", ""Steam 창작마당"", ""카메라 움직임 조정"", ""음량 개별 조절"", ""난이도 조정"", ""키보드 전용 옵션"", ""퀵타임 이벤트 없이 플레이 가능"", ""수시 저장"", ""스테레오 사운드"", ""서라운드 사운드"", ""컨트롤러 일부 지원"", ""Steam Cloud"", ""레벨 에디터 포함"", ""Remote Play 휴대전화"", ""Remote Play 태블릿"", ""Remote Play Together"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 2480000, ""final_formatted"": ""₩ 24,800"", ""initial"": 2480000, ""initial_formatted"": """"}",79.0,False,0,"도로의 왕이 되어 인상적인 거리를 가로질러 중요한 화물을 배달하는 트럭 운전사가 되어 유럽을 여행하세요! 탐험할 도시가 수십 개나 되므로, 당신의 인내심, 기술, 속도가 모두 한계에 도달할 것입니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/9a81dc3126c56637297b654f9dcac057cfd79b77/header.jpg?t=1773641450,appdetails,2026-05-26T07:39:07+00:00
