appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
3551340,Football Manager 26,Mostly Negative,Mostly Negative,대체로 부정적,33.42,2001,13.74,33,Mostly Negative,1
2584990,Shadowverse: Worlds Beyond,Mostly Negative,Mostly Negative,대체로 부정적,29.11,1623,22.18,167,Mostly Negative,2
578080,PUBG: BATTLEGROUNDS,Mixed,Mixed,복합적,60.35,146863,71.5,2,Mixed,3
304390,FOR HONOR™,Mixed,Mixed,복합적,69.15,4050,59.09,94,Mixed,4
949230,Cities: Skylines II,Mixed,Mixed,복합적,54.55,1923,55.95,24,Mixed,5
363150,Romance of the Three Kingdoms XIII,Mixed,Mixed,복합적,57.82,1621,67.24,186,Mixed,6
1677280,Company of Heroes 3,Mixed,Mixed,복합적,56.99,1581,43.96,39,Mixed,7
1352080,SMASH LEGENDS,Mixed,Mixed,복합적,68.83,1227,56.64,791,Mixed,8
1997040,MARVEL SNAP,Mostly Positive,Mostly Positive,대체로 긍정적,72.84,1219,77.52,282,Mostly Positive,9
1295660,Sid Meier's Civilization VII,Mixed,Mixed,복합적,48.5,1061,41.28,32,Mixed,10
1124300,HUMANKIND™,Mixed,Mixed,복합적,68.97,700,57.14,336,Mixed,11
3308670,GIRLS' FRONTLINE 2: EXILIUM,Mixed,Mixed,복합적,52.15,674,35.46,57,Mixed,12
285190,"Warhammer 40,000: Dawn of War III",Mixed,Mixed,복합적,48.42,571,33.1,795,Mixed,13
1424800,Uncharted Waters IV HD Version,Mixed,Mixed,복합적,65.52,523,69.22,309,Mixed,14
1845910,Dragon Age™: The Veilguard,Mixed,Mixed,복합적,68.43,478,65.69,639,Mixed,15
1604270,Broken Arrow,Mixed,Mixed,복합적,55.95,420,48.57,174,Mixed,16
712100,A Total War Saga: THRONES OF BRITANNIA,Mostly Positive,Mostly Positive,대체로 긍정적,70.48,368,72.01,788,Mostly Positive,17
593600,PixARK,Mostly Positive,Mostly Positive,대체로 긍정적,73.07,343,65.31,754,Mostly Positive,18
1341200,DYNASTY WARRIORS 9 Empires,Mixed,Mixed,복합적,49.51,257,63.81,465,Mixed,19
3274580,Anno 117: Pax Romana,Mixed,Mixed,복합적,69.67,222,72.52,87,Mixed,20
1292630,3on3 FreeStyle: Rebound,Mixed,Mixed,복합적,62.24,217,45.16,195,Mixed,21
381210,Dead by Daylight,Mostly Positive,Mostly Positive,대체로 긍정적,78.51,23819,73.16,7,Mostly Positive,22
1449850,Yu-Gi-Oh! Master Duel,Mostly Positive,Mostly Positive,대체로 긍정적,71.97,8315,75.01,3,Mostly Positive,23
550650,Black Squad,Mostly Positive,Mostly Positive,대체로 긍정적,75.83,3742,73.46,287,Mostly Positive,24
1142710,Total War: WARHAMMER III,Mostly Positive,Mostly Positive,대체로 긍정적,70.55,3685,69.31,26,Mostly Positive,25
835570,Conqueror's Blade,Mixed,Mixed,복합적,67.38,2906,75.29,44,Mixed,26
529340,Victoria 3,Mostly Positive,Mostly Positive,대체로 긍정적,70.4,2174,76.63,45,Mostly Positive,27
761890,Albion Online,Mostly Positive,Mostly Positive,대체로 긍정적,78.52,2116,81.95,59,Mostly Positive,28
2767030,Marvel Rivals,Mostly Positive,Mostly Positive,대체로 긍정적,76.37,2065,74.04,29,Mostly Positive,29
8500,EVE Online,Mostly Positive,Mostly Positive,대체로 긍정적,73.49,1596,76.88,112,Mostly Positive,30
444200,World of Tanks Blitz,Mostly Positive,Mostly Positive,대체로 긍정적,78.04,1298,64.02,76,Mostly Positive,31
1407200,World of Tanks,Very Positive,Very Positive,매우 긍정적,80.24,1257,76.37,23,Very Positive,32
368500,Assassin's Creed® Syndicate,Very Positive,Very Positive,매우 긍정적,80.05,1209,78.0,205,Very Positive,33
916440,Anno 1800,Very Positive,Very Positive,매우 긍정적,81.36,1167,86.2,109,Very Positive,34
376210,The Isle,Very Positive,Very Positive,매우 긍정적,80.18,1159,78.08,182,Very Positive,35
625960,Stoneshard,Mostly Positive,Mostly Positive,대체로 긍정적,74.59,1032,73.84,50,Mostly Positive,36
3609080,StarSavior,Mixed,Mixed,복합적,60.97,901,37.51,58,Mixed,37
1601580,Frostpunk 2,Mostly Positive,Mostly Positive,대체로 긍정적,75.01,810,58.52,221,Mostly Positive,38
1222690,Dragon Age™ Inquisition,Mostly Positive,Mostly Positive,대체로 긍정적,75.7,609,72.09,672,Mostly Positive,39
1676840,For The King II,Mostly Positive,Mostly Positive,대체로 긍정적,70.68,582,59.45,63,Mostly Positive,40
3450310,Europa Universalis V,Mixed,Mixed,복합적,68.39,514,60.89,115,Mixed,41
313120,Stranded Deep,Mostly Positive,Mostly Positive,대체로 긍정적,74.29,514,66.93,311,Mostly Positive,42
1617400,The Bazaar,Mostly Positive,Mostly Positive,대체로 긍정적,72.93,446,84.75,164,Mostly Positive,43
2503740,Storm Striker,Mostly Positive,Mostly Positive,대체로 긍정적,71.09,426,74.65,489,Mostly Positive,44
235600,Tom Clancy’s Splinter Cell Blacklist,Mostly Positive,Mostly Positive,대체로 긍정적,78.9,405,82.47,725,Mostly Positive,45
1954420,Riichi City - Japanese Mahjong,Mixed,Mixed,복합적,48.03,382,61.52,580,Mixed,46
826630,Iron Harvest,Mostly Positive,Mostly Positive,대체로 긍정적,72.66,357,52.38,731,Mostly Positive,47
2620240,Spectral Scream,Mostly Positive,Mostly Positive,대체로 긍정적,78.17,352,84.38,577,Mostly Positive,48
2622000,Astral Party,Mixed,Mixed,복합적,54.75,351,78.92,60,Mixed,49
2526380,Sword of Convallaria,Mostly Positive,Mostly Positive,대체로 긍정적,75.12,310,73.23,227,Mostly Positive,50
1812450,Bellwright,Very Positive,Very Positive,매우 긍정적,80.63,307,76.55,136,Very Positive,51
392160,X4: Foundations,Mostly Positive,Mostly Positive,대체로 긍정적,79.98,306,74.51,283,Mostly Positive,52
359320,Elite Dangerous,Mostly Positive,Mostly Positive,대체로 긍정적,77.36,303,69.31,416,Mostly Positive,53
1850510,TRIANGLE STRATEGY,Mostly Positive,Mostly Positive,대체로 긍정적,79.91,289,79.24,260,Mostly Positive,54
505460,Foxhole,Mostly Positive,Mostly Positive,대체로 긍정적,79.63,285,75.09,652,Mostly Positive,55
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",Mostly Positive,Mostly Positive,대체로 긍정적,76.79,247,80.97,183,Mostly Positive,56
1809700,Persona 3 Portable,Very Positive,Very Positive,매우 긍정적,80.61,238,81.09,310,Very Positive,57
718670,Cultist Simulator,Mostly Positive,Mostly Positive,대체로 긍정적,79.93,231,81.39,567,Mostly Positive,58
1361000,In Silence,Mostly Positive,Mostly Positive,대체로 긍정적,74.61,228,71.49,713,Mostly Positive,59
2688950,Planet Coaster 2,Mostly Positive,Mostly Positive,대체로 긍정적,72.84,215,65.58,135,Mostly Positive,60
1426450,Age of Darkness: Final Stand,Mostly Positive,Mostly Positive,대체로 긍정적,74.79,215,67.91,704,Mostly Positive,61
359550,Tom Clancy's Rainbow Six Siege,Very Positive,Very Positive,매우 긍정적,82.39,52584,79.67,8,Very Positive,62
1049590,Eternal Return,Mostly Positive,Mostly Positive,대체로 긍정적,76.27,35289,75.05,6,Mostly Positive,63
730,Counter-Strike 2,Very Positive,Very Positive,매우 긍정적,86.12,25699,80.17,1,Very Positive,64
1973530,Limbus Company,Very Positive,Very Positive,매우 긍정적,87.75,17332,83.8,5,Very Positive,65
289070,Sid Meier’s Civilization® VI,Very Positive,Very Positive,매우 긍정적,86.04,12309,89.42,47,Very Positive,66
648800,Raft,Very Positive,Very Positive,매우 긍정적,93.04,10557,90.68,19,Very Positive,67
568220,Lobotomy Corporation | Monster Management Simulation,Very Positive,Very Positive,매우 긍정적,94.21,9526,89.71,75,Very Positive,68
262060,Darkest Dungeon®,Very Positive,Very Positive,매우 긍정적,91.68,9199,85.77,114,Very Positive,69
218620,PAYDAY 2,Very Positive,Very Positive,매우 긍정적,89.32,8578,80.4,68,Very Positive,70
394360,Hearts of Iron IV,Very Positive,Very Positive,매우 긍정적,90.2,7426,88.39,20,Very Positive,71
322170,Geometry Dash,Very Positive,Very Positive,매우 긍정적,93.06,6885,88.76,73,Very Positive,72
255710,Cities: Skylines,Very Positive,Very Positive,매우 긍정적,92.88,6552,93.38,56,Very Positive,73
779340,Total War: THREE KINGDOMS,Very Positive,Very Positive,매우 긍정적,82.21,5991,88.25,89,Very Positive,74
