appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
733070,Sudoku Universe / 数独宇宙,80-090,89.0,107,97.2,647,Very Positive,1
203140,Hitman: Absolution™,80-090,88.0,661,86.23,812,Very Positive,2
1862520,Just Go,80-090,89.0,387,95.87,864,Very Positive,3
2735630,Frostrain,80-090,88.0,843,97.86,1083,Very Positive,4
784150,Workers & Resources: Soviet Republic,80-090,89.0,184,88.59,1298,Very Positive,5
475550,Beholder,80-090,81.0,605,82.98,1299,Very Positive,6
1397920,Mr.Mine,80-090,89.0,254,89.76,1302,Very Positive,7
367450,Poly Bridge,80-090,89.0,718,87.6,1305,Very Positive,8
10680,Aliens vs. Predator™,80-090,89.0,159,82.39,1306,Very Positive,9
2187290,Wall World,80-090,89.0,334,91.32,1310,Very Positive,10
356570,Party Hard,80-090,85.0,213,86.85,1312,Very Positive,11
358130,Curious Expedition,80-090,87.0,222,92.34,1327,Very Positive,12
341000,Mad Games Tycoon,80-090,88.0,432,92.82,1329,Very Positive,13
368230,Kingdom: Classic,80-090,88.0,412,83.25,1539,Very Positive,14
298630,The Escapists,80-090,89.0,138,84.78,1545,Very Positive,15
1601570,The Alters,80-090,89.0,253,73.91,1546,Very Positive,16
437920,Tricky Towers,80-090,89.0,1462,89.95,1550,Very Positive,17
1042550,Digimon Story Cyber Sleuth: Complete Edition,80-090,89.0,670,85.67,1553,Very Positive,18
1594320,Captain of Industry,80-090,87.0,132,90.91,1554,Very Positive,19
280160,Aragami,80-090,89.0,100,80.0,1557,Very Positive,20
2289970,In Sink: A Co-Op Escape Prologue,80-090,88.0,225,91.11,1562,Very Positive,21
1501610,Nova Lands,80-090,89.0,157,84.08,1585,Very Positive,22
218620,PAYDAY 2,80-090,87.0,8578,80.4,1796,Very Positive,23
305620,The Long Dark,80-090,87.0,3849,87.53,1798,Very Positive,24
244850,Space Engineers,80-090,89.0,527,85.58,1799,Very Positive,25
489520,Minion Masters,80-090,87.0,388,88.66,1800,Very Positive,26
363970,Clicker Heroes,80-090,88.0,401,89.53,1801,Very Positive,27
233450,Prison Architect,80-090,88.0,1197,86.97,1802,Very Positive,28
3097560,Liar's Bar,80-090,89.0,588,89.29,1803,Very Positive,29
603850,Age of History II,80-090,86.0,694,76.37,1804,Very Positive,30
977400,Cell to Singularity - Evolution Never Ends,80-090,86.0,355,89.3,1805,Very Positive,31
1066780,Transport Fever 2,80-090,89.0,267,84.64,1806,Very Positive,32
10500,Total War: EMPIRE – Definitive Edition,80-090,89.0,266,86.09,1808,Very Positive,33
973760,Thronebreaker: The Witcher Tales,80-090,87.0,593,89.38,1810,Very Positive,34
503560,911 Operator,80-090,87.0,573,89.01,1812,Very Positive,35
