tag_id,tag_name,appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort
9,Strategy,578080,PUBG: BATTLEGROUNDS,Mixed,Mixed,복합적,66.0,446169,146863,71.5,2,Reviews_ASC
9,Strategy,304390,FOR HONOR™,Mixed,Mixed,복합적,69.0,57489,4050,59.09,94,Reviews_ASC
9,Strategy,949230,Cities: Skylines II,Mixed,Mixed,복합적,56.0,33287,1923,55.95,24,Reviews_ASC
9,Strategy,1845910,Dragon Age™: The Veilguard,Mixed,Mixed,복합적,67.0,28838,478,65.69,639,Reviews_ASC
9,Strategy,1295660,Sid Meier's Civilization VII,Mixed,Mixed,복합적,51.0,27904,1061,41.28,32,_ASC
9,Strategy,1997040,MARVEL SNAP,Mixed,Mixed,복합적,67.0,19850,1219,77.52,282,Reviews_ASC
9,Strategy,1677280,Company of Heroes 3,Mixed,Mixed,복합적,62.0,12942,1581,43.96,39,Reviews_ASC
9,Strategy,1124300,HUMANKIND™,Mixed,Mixed,복합적,69.0,12216,700,57.14,336,Reviews_ASC
9,Strategy,1604270,Broken Arrow,Mixed,Mixed,복합적,61.0,9376,420,48.57,174,Reviews_ASC
9,Strategy,285190,"Warhammer 40,000: Dawn of War III",Mixed,Mixed,복합적,47.0,7770,571,33.1,795,Reviews_ASC
9,Strategy,712100,A Total War Saga: THRONES OF BRITANNIA,Mixed,Mixed,복합적,69.0,7102,368,72.01,788,Reviews_ASC
9,Strategy,3274580,Anno 117: Pax Romana,Mixed,Mixed,복합적,65.0,5081,222,72.52,87,Reviews_ASC
9,Strategy,593600,PixARK,Mixed,Mixed,복합적,69.0,3194,343,65.31,754,_ASC
9,Strategy,1352080,SMASH LEGENDS,Mixed,Mixed,복합적,66.0,2926,1227,56.64,791,Reviews_ASC
9,Strategy,1292630,3on3 FreeStyle: Rebound,Mixed,Mixed,복합적,62.0,2463,217,45.16,195,Reviews_ASC
9,Strategy,1424800,Uncharted Waters IV HD Version,Mixed,Mixed,복합적,66.0,1881,523,69.22,309,Reviews_ASC
9,Strategy,1341200,DYNASTY WARRIORS 9 Empires,Mixed,Mixed,복합적,50.0,1663,257,63.81,465,Reviews_ASC
9,Strategy,3308670,GIRLS' FRONTLINE 2: EXILIUM,Mixed,Mixed,복합적,52.0,1021,674,35.46,57,Reviews_ASC
9,Strategy,363150,Romance of the Three Kingdoms XIII,Mixed,Mixed,복합적,68.0,879,1621,67.24,186,Reviews_ASC
9,Strategy,3551340,Football Manager 26,Mostly Negative,Mostly Negative,대체로 부정적,36.0,8560,2001,13.74,33,Reviews_ASC
9,Strategy,2584990,Shadowverse: Worlds Beyond,Mostly Negative,Mostly Negative,대체로 부정적,37.0,6427,1623,22.18,167,Reviews_ASC
9,Strategy,2767030,Marvel Rivals,Mostly Positive,Mostly Positive,대체로 긍정적,77.0,283379,2065,74.04,29,Reviews_ASC
9,Strategy,381210,Dead by Daylight,Mostly Positive,Mostly Positive,대체로 긍정적,79.0,256286,23819,73.16,7,_ASC
9,Strategy,376210,The Isle,Mostly Positive,Mostly Positive,대체로 긍정적,77.0,58069,1159,78.08,182,Reviews_ASC
9,Strategy,1142710,Total War: WARHAMMER III,Mostly Positive,Mostly Positive,대체로 긍정적,70.0,54587,3685,69.31,26,Reviews_ASC
9,Strategy,359320,Elite Dangerous,Mostly Positive,Mostly Positive,대체로 긍정적,76.0,52783,303,69.31,416,Reviews_ASC
9,Strategy,1449850,Yu-Gi-Oh! Master Duel,Mostly Positive,Mostly Positive,대체로 긍정적,73.0,48129,8315,75.01,3,Reviews_ASC
9,Strategy,505460,Foxhole,Mostly Positive,Mostly Positive,대체로 긍정적,78.0,29087,285,75.09,652,Reviews_ASC
9,Strategy,761890,Albion Online,Mostly Positive,Mostly Positive,대체로 긍정적,74.0,26904,2116,81.95,59,Reviews_ASC
9,Strategy,550650,Black Squad,Mostly Positive,Mostly Positive,대체로 긍정적,70.0,25422,3742,73.46,287,Reviews_ASC
9,Strategy,1407200,World of Tanks,Mostly Positive,Mostly Positive,대체로 긍정적,73.0,24739,1257,76.37,23,Reviews_ASC
9,Strategy,444200,World of Tanks Blitz,Mostly Positive,Mostly Positive,대체로 긍정적,74.0,24355,1298,64.02,76,Reviews_ASC
9,Strategy,313120,Stranded Deep,Mostly Positive,Mostly Positive,대체로 긍정적,74.0,23356,514,66.93,311,Reviews_ASC
9,Strategy,8500,EVE Online,Mostly Positive,Mostly Positive,대체로 긍정적,72.0,22848,1596,76.88,112,_ASC
9,Strategy,529340,Victoria 3,Mostly Positive,Mostly Positive,대체로 긍정적,70.0,20318,2174,76.63,45,Reviews_ASC
9,Strategy,392160,X4: Foundations,Mostly Positive,Mostly Positive,대체로 긍정적,78.0,13184,306,74.51,283,Reviews_ASC
9,Strategy,3450310,Europa Universalis V,Mostly Positive,Mostly Positive,대체로 긍정적,71.0,12877,514,60.89,115,Reviews_ASC
9,Strategy,916440,Anno 1800,Mostly Positive,Mostly Positive,대체로 긍정적,78.0,11721,1167,86.2,109,Reviews_ASC
9,Strategy,625960,Stoneshard,Mostly Positive,Mostly Positive,대체로 긍정적,74.0,11240,1032,73.84,50,_ASC
9,Strategy,1222690,Dragon Age™ Inquisition,Mostly Positive,Mostly Positive,대체로 긍정적,75.0,10769,609,72.09,672,Reviews_ASC
9,Strategy,368500,Assassin's Creed® Syndicate,Mostly Positive,Mostly Positive,대체로 긍정적,78.0,10015,1209,78.0,205,Reviews_ASC
9,Strategy,1812450,Bellwright,Mostly Positive,Mostly Positive,대체로 긍정적,79.0,9542,307,76.55,136,Reviews_ASC
9,Strategy,1601580,Frostpunk 2,Mostly Positive,Mostly Positive,대체로 긍정적,78.0,9326,810,58.52,221,Reviews_ASC
9,Strategy,235600,Tom Clancy’s Splinter Cell Blacklist,Mostly Positive,Mostly Positive,대체로 긍정적,73.0,8384,405,82.47,725,Reviews_ASC
9,Strategy,2688950,Planet Coaster 2,Mostly Positive,Mostly Positive,대체로 긍정적,72.0,7921,215,65.58,135,Reviews_ASC
9,Strategy,1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",Mostly Positive,Mostly Positive,대체로 긍정적,78.0,7331,247,80.97,183,Reviews_ASC
9,Strategy,835570,Conqueror's Blade,Mostly Positive,Mostly Positive,대체로 긍정적,73.0,6717,2906,75.29,44,Reviews_ASC
9,Strategy,826630,Iron Harvest,Mostly Positive,Mostly Positive,대체로 긍정적,75.0,6091,357,52.38,731,Reviews_ASC
9,Strategy,1617400,The Bazaar,Mostly Positive,Mostly Positive,대체로 긍정적,79.0,5584,446,84.75,164,Reviews_ASC
9,Strategy,1426450,Age of Darkness: Final Stand,Mostly Positive,Mostly Positive,대체로 긍정적,75.0,5383,215,67.91,704,Reviews_ASC
9,Strategy,1676840,For The King II,Mostly Positive,Mostly Positive,대체로 긍정적,79.0,5262,582,59.45,63,Reviews_ASC
9,Strategy,718670,Cultist Simulator,Mostly Positive,Mostly Positive,대체로 긍정적,79.0,5217,231,81.39,567,Reviews_ASC
9,Strategy,1361000,In Silence,Mostly Positive,Mostly Positive,대체로 긍정적,73.0,4749,228,71.49,713,_ASC
9,Strategy,1809700,Persona 3 Portable,Mostly Positive,Mostly Positive,대체로 긍정적,79.0,2903,238,81.09,310,Reviews_ASC
9,Strategy,2526380,Sword of Convallaria,Mostly Positive,Mostly Positive,대체로 긍정적,74.0,2793,310,73.23,227,Reviews_ASC
9,Strategy,2622000,Astral Party,Mostly Positive,Mostly Positive,대체로 긍정적,76.0,1790,351,78.92,60,Reviews_ASC
9,Strategy,1850510,TRIANGLE STRATEGY,Mostly Positive,Mostly Positive,대체로 긍정적,77.0,1444,289,79.24,260,Reviews_ASC
9,Strategy,3609080,StarSavior,Mostly Positive,Mostly Positive,대체로 긍정적,72.0,1126,901,37.51,58,Reviews_ASC
9,Strategy,2503740,Storm Striker,Mostly Positive,Mostly Positive,대체로 긍정적,71.0,1063,426,74.65,489,Reviews_ASC
9,Strategy,1954420,Riichi City - Japanese Mahjong,Mostly Positive,Mostly Positive,대체로 긍정적,76.0,908,382,61.52,580,Reviews_ASC
9,Strategy,2620240,Spectral Scream,Mostly Positive,Mostly Positive,대체로 긍정적,78.0,652,352,84.38,577,Reviews_ASC
9,Strategy,1086940,Baldur's Gate 3,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,442253,16272,97.13,14,Reviews_ASC
9,Strategy,960090,Bloons TD 6,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,226351,1851,95.52,28,Reviews_DESC
9,Strategy,3164500,Schedule I,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,192109,508,94.29,29,Reviews_DESC
9,Strategy,526870,Satisfactory,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,133713,3909,96.75,30,Reviews_DESC
9,Strategy,294100,RimWorld,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,117032,8060,98.09,9,Reviews_ASC
9,Strategy,427520,Factorio,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.0,115584,4050,98.35,27,Reviews_ASC
9,Strategy,2592160,Dispatch,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,103945,1132,96.2,12,Reviews_ASC
9,Strategy,2379780,Balatro,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.0,101189,2339,97.56,35,Reviews_DESC
9,Strategy,508440,Totally Accurate Battle Simulator,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.0,82981,3035,95.85,144,Reviews_ASC
9,Strategy,435150,Divinity: Original Sin 2 - Definitive Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,82790,4007,94.91,158,Reviews_DESC
9,Strategy,322330,Don't Starve Together,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,80921,12830,93.41,28,Reviews_ASC
9,Strategy,220200,Kerbal Space Program,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,80873,1073,95.62,161,Reviews_DESC
9,Strategy,8930,Sid Meier's Civilization® V,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,78316,8881,95.7,99,Reviews_ASC
9,Strategy,1092790,Inscryption,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,75317,3618,94.42,82,Reviews_DESC
9,Strategy,646570,Slay the Spire,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,75259,10096,98.2,33,Reviews_DESC
9,Strategy,813780,Age of Empires II: Definitive Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,60589,2074,89.2,18,Reviews_ASC
9,Strategy,1313140,Cult of the Lamb,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,58771,2615,93.31,92,Reviews_ASC
9,Strategy,48700,Mount & Blade: Warband,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,54778,2370,97.09,347,_ASC
9,Strategy,1454400,Cookie Clicker,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,52956,609,95.73,83,Reviews_DESC
9,Strategy,457140,Oxygen Not Included,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,48596,4759,95.59,69,Reviews_ASC
9,Strategy,212680,FTL: Faster Than Light,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,46410,1722,94.43,573,Reviews_ASC
