tag_id,tag_name,appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,tag_names
4106,Action-Adventure,1635450,Longvinter,Mixed,Mixed,복합적,62.0,1813,3897,71.34,116,Reviews_ASC,Action-Adventure
4106,Action-Adventure,2054970,Dragon's Dogma 2,Mixed,Mixed,복합적,67.0,43445,3189,54.28,111,Reviews_ASC,Action-Adventure
4106,Action-Adventure,2349820,Hero's Land,Mixed,Mixed,복합적,66.0,1458,2390,75.56,72,Reviews_ASC,Action-Adventure
4106,Action-Adventure,1716740,Starfield,Mixed,Mixed,복합적,57.0,85007,1877,32.34,101,Reviews_ASC,Action-Adventure
4106,Action-Adventure,1974050,Torchlight: Infinite,Mixed,Mixed,복합적,62.0,7978,1811,86.8,24,Reviews_ASC,Action-Adventure
1667,Horror,476600,Call of Duty®: WWII,Mixed,Mixed,복합적,66.0,13887,1584,58.46,82,Reviews_ASC,Horror
4106,Action-Adventure,1285190,Borderlands 4,Mixed,Mixed,복합적,61.0,41528,1318,57.66,31,Reviews_ASC,Action-Adventure
4106,Action-Adventure,1774580,STAR WARS Jedi: Survivor™,Mixed,Mixed,복합적,69.0,49211,1069,69.78,156,Reviews_ASC,Action-Adventure
1667,Horror,382140,SKYHILL,Mixed,Mixed,복합적,69.0,639,876,76.6,410,Reviews_ASC,Horror
1667,Horror,526160,The Wild Eight,Mixed,Mixed,복합적,68.0,1784,837,60.69,738,Reviews_ASC,Horror
4106,Action-Adventure,3679080,The Seven Deadly Sins: Origin,Mixed,Mixed,복합적,58.0,3984,783,55.3,11,Reviews_ASC,Action-Adventure
4106,Action-Adventure,2369390,Far Cry® 6,Mixed,Mixed,복합적,67.0,12547,655,61.07,239,Reviews_ASC,Action-Adventure
4106,Action-Adventure,4214820,Game of Thrones Kingsroad,Mixed,Mixed,복합적,65.0,363,556,81.83,30,Reviews_ASC,Action-Adventure
