appid,name,tag_id,tag_name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,review_score_desc,priority
3551340,Football Manager 26,9,Strategy,Mostly Negative,Mostly Negative,대체로 부정적,33.42,8560,2001,13.74,33,Reviews_ASC,Mostly Negative,1
2584990,Shadowverse: Worlds Beyond,9,Strategy,Mostly Negative,Mostly Negative,대체로 부정적,29.11,6427,1623,22.18,167,Reviews_ASC,Mostly Negative,2
578080,PUBG: BATTLEGROUNDS,9,Strategy,Mixed,Mixed,복합적,60.35,446169,146863,71.5,2,Reviews_ASC,Mixed,3
304390,FOR HONOR™,9,Strategy,Mixed,Mixed,복합적,69.15,57489,4050,59.09,94,Reviews_ASC,Mixed,4
949230,Cities: Skylines II,9,Strategy,Mixed,Mixed,복합적,54.55,33287,1923,55.95,24,Reviews_ASC,Mixed,5
363150,Romance of the Three Kingdoms XIII,9,Strategy,Mixed,Mixed,복합적,57.82,879,1621,67.24,186,Reviews_ASC,Mixed,6
1677280,Company of Heroes 3,9,Strategy,Mixed,Mixed,복합적,56.99,12942,1581,43.96,39,Reviews_ASC,Mixed,7
1352080,SMASH LEGENDS,9,Strategy,Mixed,Mixed,복합적,68.83,2926,1227,56.64,791,Reviews_ASC,Mixed,8
1997040,MARVEL SNAP,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,72.84,19850,1219,77.52,282,Reviews_ASC,Mostly Positive,9
1295660,Sid Meier's Civilization VII,9,Strategy,Mixed,Mixed,복합적,48.5,27904,1061,41.28,32,_ASC,Mixed,10
1124300,HUMANKIND™,9,Strategy,Mixed,Mixed,복합적,68.97,12216,700,57.14,336,Reviews_ASC,Mixed,11
3308670,GIRLS' FRONTLINE 2: EXILIUM,9,Strategy,Mixed,Mixed,복합적,52.15,1021,674,35.46,57,Reviews_ASC,Mixed,12
285190,"Warhammer 40,000: Dawn of War III",9,Strategy,Mixed,Mixed,복합적,48.42,7770,571,33.1,795,Reviews_ASC,Mixed,13
