appid,name,release_date,developers,publishers,genres,categories,price_overview,metacritic_score,is_free,required_age,short_description,header_image,metadata_source,crawled_at
2357570,오버워치™,2023년 8월 10일,"[""Blizzard Entertainment, Inc.""]","[""Blizzard Entertainment, Inc.""]","[""액션"", ""무료 플레이""]","[""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""앱 내 구매"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""음성 채팅 텍스트 변환"", ""텍스트 채팅 음성 변환"", ""색상 대체"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""스테레오 사운드"", ""자막 옵션"", ""서라운드 사운드""]",,,True,0.0,"오버워치™, 쟁취할 가치가 있는 미래! 오버워치™는 희망적인 미래를 배경으로 펼쳐지며, 언제든지 열려 있고 끊임없이 진화하는 팀 기반 액션 무료 플레이 게임입니다. 플레이어는 5대5 또는 6대6 전장에서 난투를 벌이게 됩니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2357570/488fe820b06dcc6cf867a5c481f5bb130ec7dac9/header_alt_assets_20_koreana.jpg?t=1778610036,appdetails,2026-06-07T01:16:03+00:00
3551340,Football Manager 26,2025년 11월 4일,"[""Sports Interactive""]","[""SEGA""]","[""시뮬레이션"", ""스포츠"", ""전략""]","[""싱글 플레이어"", ""멀티플레이어"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""Steam 창작마당"", ""텍스트 크기 조정"", ""퀵타임 이벤트 없이 플레이 가능"", ""수시 저장"", ""Steam Cloud"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 6980000, ""final_formatted"": ""₩ 69,800"", ""initial"": 6980000, ""initial_formatted"": """"}",,False,0.0,"지금 필드로 향해, 축구 클럽 경영의 미래를 경험해 보세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3551340/143dbfd711e77ddc1c4b6d6ba2b1c19e38e10033/header_alt_assets_0.jpg?t=1779890235,appdetails,2026-06-07T01:16:03+00:00
1367080,기동전사 건담 배틀 오퍼레이션 2,2023년 5월 30일,"[""Bandai Namco Forge Digitals Inc.""]","[""Bandai Namco Entertainment Inc.""]","[""액션"", ""무료 플레이""]","[""싱글 플레이어"", ""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""Steam 도전 과제"", ""앱 내 구매"", ""컨트롤러 일부 지원"", ""Steam 순위표""]",,,True,0.0,"『기동전사 건담』 시리즈의 우주세기를 주제로 한 기본 플레이 무료 팀 배틀 액션. 중후한 그래픽으로 표현된 기체의 수는 350종류 이상. 건담의 세계에서 파일럿이 되어, 동료와 협력하여 팀을 승리로 이끌어라!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1367080/2af4d37557c8f582a0573431773c6d7c618ef36b/header_alt_assets_5.jpg?t=1779919339,appdetails,2026-06-07T01:16:03+00:00
2584990,Shadowverse: Worlds Beyond,2025년 6월 14일,"[""Cygames, Inc.""]","[""Cygames, Inc.""]","[""캐주얼"", ""RPG"", ""전략"", ""무료 플레이""]","[""싱글 플레이어"", ""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""앱 내 구매"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""스테레오 사운드"", ""컨트롤러 일부 지원""]",,,True,0.0,Cygames가 선보이는 신작 카드 게임 '섀도우버스 월즈 비욘드'가 드디어 시동! 초진화와 섀버 파크 등 신규 요소와 콘텐츠가 추가된 새로운 차원의 디지털 카드 게임 탄생! 신규 유저도 기존 유저도 모두 즐길 수 있는 한층 더 진화한 섀도우버스!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2584990/bab5a90e2765d340ca3ba8553e1b0ee679176dda/header_koreana.jpg?t=1772083189,appdetails,2026-06-07T01:16:03+00:00
578080,PUBG: BATTLEGROUNDS,2017년 12월 21일,"[""PUBG Corporation""]","[""KRAFTON, Inc.""]","[""액션"", ""어드벤처"", ""대규모 멀티플레이어"", ""무료 플레이""]","[""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""음량 개별 조절"", ""스테레오 사운드"", ""서라운드 사운드"", ""통계"", ""Remote Play 휴대전화"", ""Remote Play 태블릿""]",,,True,19.0,"배틀로얄 유행의 시작이자, 그 정수를 보여준 PUBG: 배틀그라운드를 지금 무료로 플레이하세요! 다양한 맵에 낙하하여 무기와 보급품을 확보하고, 점점 줄어드는 블루존 속에서 끝까지 살아남아 승리를 쟁취하세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/841ea38bc58cabb70aef65365cf50bc2d79329d9/header.jpg?t=1778634253,appdetails,2026-06-07T01:16:03+00:00
4025700,두근두근타운,2026년 1월 16일,"[""XD""]","[""XD""]","[""캐주얼"", ""시뮬레이션"", ""무료 플레이""]","[""싱글 플레이어"", ""멀티플레이어"", ""크로스 플랫폼 멀티플레이어"", ""앱 내 구매""]",,,True,0.0,"&lt;두근두근타운&gt;은 창의성과 자유, 그리고 평온함을 선사하는 생활 시뮬레이션 게임입니다. 당신만의 집을 짓고, 다채로운 취미를 즐기며, 소중한 인연을 쌓아보세요. 무한한 가능성이 펼쳐지는 두근두근 타운이 지금 당신을 기다립니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4025700/3dc3eb2daa56bacb84f32f186aa50710014212bf/header_alt_assets_0.jpg?t=1780458676,appdetails,2026-06-07T01:16:03+00:00
2246340,Monster Hunter Wilds,2025년 2월 27일,"[""CAPCOM Co., Ltd.""]","[""CAPCOM Co., Ltd.""]","[""액션"", ""어드벤처"", ""RPG""]","[""싱글 플레이어"", ""멀티플레이어"", ""협동"", ""온라인 협동"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""컨트롤러 완벽 지원"", ""Steam 트레이딩 카드"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""키보드 전용 옵션"", ""스테레오 사운드"", ""자막 옵션"", ""서라운드 사운드"", ""Steam Cloud"", ""HDR 사용 가능"", ""가족 공유""]","{""currency"": ""KRW"", ""discount_percent"": 58, ""final"": 3562000, ""final_formatted"": ""₩ 35,620"", ""initial"": 8480000, ""initial_formatted"": ""₩ 84,800""}",,False,0.0,거칠고 치열한 자연의 습격. 시시각각 역동적으로 그 모습을 바꾸는 필드. 양면성을 지닌 세계를 살아가는 몬스터와 사람들의 이야기. 더욱더 발전한 헌팅 액션과 끊임없는 몰입감을 추구하는 궁극의 사냥 체험이 당신을 기다리고 있다.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2246340/header.jpg?t=1780446081,appdetails,2026-06-07T01:16:03+00:00
1938090,콜 오브 듀티®,2022년 10월 27일,"[""Treyarch"", ""Raven Software"", ""Beenox"", ""High Moon Studios"", ""Sledgehammer Games"", ""Infinity Ward"", ""Activision Shanghai"", ""Demonware""]","[""Activision""]","[""액션""]","[""싱글 플레이어"", ""멀티플레이어"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""크로스 플랫폼 멀티플레이어"", ""Steam 도전 과제"", ""캡션 이용 가능"", ""앱 내 구매"", ""텍스트 크기 조정"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""스테레오 사운드"", ""자막 옵션"", ""서라운드 사운드"", ""컨트롤러 일부 지원"", ""HDR 사용 가능""]",,,False,19.0,"콜 오브 듀티® 경험은 모던 워페어 4, 블랙 옵스 7, 블랙 옵스 6, 콜 오브 듀티®: 워존을 지원합니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1938090/00ee0d1f8e6f3d351695d0d70603afd3eecd68bf/header_koreana.jpg?t=1780609656,appdetails,2026-06-07T01:16:03+00:00
3679080,일곱 개의 대죄: Origin,2026년 3월 16일,"[""Netmarble F&C""]","[""Netmarble""]","[""액션"", ""어드벤처"", ""대규모 멀티플레이어"", ""RPG"", ""시뮬레이션"", ""무료 플레이""]","[""싱글 플레이어"", ""멀티플레이어"", ""협동"", ""온라인 협동"", ""크로스 플랫폼 멀티플레이어"", ""컨트롤러 완벽 지원"", ""앱 내 구매"", ""음량 개별 조절"", ""난이도 조정"", ""수시 저장"", ""자막 옵션""]",,,True,0.0,"〈일곱 개의 대죄: Origin〉은 『일곱 개의 대죄』 IP를 배경으로 하는 멀티형 오픈월드 RPG입니다. 리오네스의 왕자 트리스탄이 되어 오픈월드로 구현된 애니메이션 속 브리타니아를 탐험하며, 시공간이 뒤섞인 세계의 혼란을 바로잡기 위한 여정에 함께하세요.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3679080/718353a3529797c8d8125fc1deb1c41f9670e71d/header_koreana.jpg?t=1778661305,appdetails,2026-06-07T01:16:03+00:00
3932890,Escape from Tarkov,2025년 11월 15일,"[""Battlestate Games""]","[""Battlestate Games""]","[""액션"", ""대규모 멀티플레이어"", ""RPG"", ""시뮬레이션""]","[""멀티플레이어"", ""MMO"", ""PvP"", ""온라인 PvP"", ""협동"", ""온라인 협동"", ""Steam 도전 과제"", ""Steam 트레이딩 카드"", ""앱 내 구매"", ""카메라 움직임 조정"", ""색상 대체"", ""음량 개별 조절"", ""퀵타임 이벤트 없이 플레이 가능"", ""스테레오 사운드"", ""서라운드 사운드""]","{""currency"": ""KRW"", ""discount_percent"": 0, ""final"": 6950000, ""final_formatted"": ""₩ 69,500"", ""initial"": 6950000, ""initial_formatted"": """"}",,False,0.0,"목숨을 건 도박같은 레이드가 매력적인 탈출 FPS 장르의 원조 Escape from Tarkov입니다. 레이드를 준비하고, 피 흘리고, 인내하며 가차없는 PMC들 그리고 스캐브들과 싸워나가며 전술적 우위를 점하고 전리품을 지켜내세요 — 당신의 생과 사를 가르는 것은 오직 탈출 뿐입니다.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3932890/e6bcff9e3787f9fc19e46dc06c12c841cf3d4cb7/header_alt_assets_0.jpg?t=1779703783,appdetails,2026-06-07T01:16:03+00:00
